"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-03-26 21:40:33","152497088","PENDLEFDUSD","Limit","BUY","2.8","10PENDLE","2025-03-26 21:43:31","0PENDLE","0","0FDUSD","CANCELED"
"2025-03-25 22:22:41","546268418","WIFFDUSD","Limit","BUY","0.543","2400WIF","2025-03-26 02:16:11","2400WIF","0.543","1303.2FDUSD","FILLED"
"2025-03-25 21:57:00","102170452","POLFDUSD","Limit","SELL","0.2285","5878POL","2025-03-25 21:57:00","5878POL","0.2285","1343.123FDUSD","FILLED"
"2025-03-25 21:54:54","92653344","POLUSDC","Limit","SELL","1.14","1000POL","2025-03-27 09:16:48","0POL","0","0USDC","CANCELED"
"2025-03-25 21:53:33","92653305","POLUSDC","Limit","SELL","0.9988","1000POL","2025-03-25 21:53:33","0POL","0","0USDC","NEW"
"2025-03-25 21:51:33","92653194","POLUSDC","Limit","BUY","0.2282","2700POL","2025-03-25 21:57:42","2700POL","0.2282","616.14USDC","FILLED"
"2025-03-25 21:50:38","92653141","POLUSDC","Limit","BUY","0.2277","10000POL","2025-03-25 23:03:44","10000POL","0.2277","2277USDC","FILLED"
"2025-03-25 21:49:09","92653075","POLUSDC","Limit","BUY","0.2121","10000POL","2025-03-28 10:58:14","10000POL","0.2121","2121USDC","FILLED"
"2025-03-25 21:36:51","401440086","LINKUSDC","Limit","SELL","33.44","200LINK","2025-03-27 09:19:49","0LINK","0","0USDC","CANCELED"
"2025-03-25 21:34:32","783005460","ADAUSDC","Limit","SELL","1.1987","10000ADA","2025-03-25 21:34:32","0ADA","0","0USDC","NEW"
"2025-03-25 21:33:04","401439237","LINKUSDC","Limit","SELL","28.28","100LINK","2025-03-25 21:33:04","0LINK","0","0USDC","NEW"
"2025-03-25 21:31:11","260340890","ATOMUSDC","Limit","SELL","9.876","100ATOM","2025-03-29 20:20:33","0ATOM","0","0USDC","CANCELED"
"2025-03-25 21:29:50","7525095","CAKEUSDC","Limit","SELL","4.04","1500CAKE","2025-03-27 09:52:30","0CAKE","0","0USDC","CANCELED"
"2025-03-25 21:27:10","279604545","WIFUSDC","Limit","SELL","1.567","500WIF","2025-03-25 21:27:10","0WIF","0","0USDC","NEW"
"2025-03-25 20:47:58","132627155","TAOFDUSD","Limit","BUY","269.7","2TAO","2025-03-25 20:55:59","2TAO","269.7","539.4FDUSD","FILLED"
"2025-03-25 20:35:28","285539084","PEPEFDUSD","Limit","BUY","0.0000073","62000000PEPE","2025-03-26 21:45:16","0PEPE","0","0FDUSD","CANCELED"
"2025-03-25 20:11:45","152284470","PENDLEFDUSD","Limit","BUY","2.955","400PENDLE","2025-03-25 20:12:26","400PENDLE","2.955","1182FDUSD","FILLED"
"2025-03-25 19:58:26","120965144","GALAFDUSD","Limit","BUY","0.01855","32000GALA","2025-03-25 19:58:26","32000GALA","0.01855","593.6FDUSD","FILLED"
"2025-03-25 19:45:22","19658179","CETUSUSDC","Limit","BUY","0.1163","8000CETUS","2025-03-25 19:45:22","8000CETUS","0.1163","930.4USDC","FILLED"
"2025-03-25 19:44:29","19658122","CETUSUSDC","Limit","BUY","0.1162","8000CETUS","2025-03-25 19:44:44","0CETUS","0","0USDC","CANCELED"
"2025-03-25 19:38:20","120963448","GALAFDUSD","Limit","BUY","0.01854","32000GALA","2025-03-25 19:58:53","32000GALA","0.01854","593.28FDUSD","FILLED"
"2025-03-25 19:35:49","120963035","GALAFDUSD","Limit","BUY","0.01862","27000GALA","2025-03-25 19:35:49","27000GALA","0.01857","501.39FDUSD","FILLED"
"2025-03-25 19:20:20","132606738","TAOFDUSD","Limit","BUY","268.3","2TAO","2025-03-25 19:21:58","2TAO","268.3","536.6FDUSD","FILLED"
"2025-03-25 19:17:59","132606223","TAOFDUSD","Limit","BUY","246.8","2TAO","2025-03-25 20:46:41","0TAO","0","0FDUSD","CANCELED"
"2025-03-25 19:16:05","132605756","TAOFDUSD","Limit","BUY","268.3","2TAO","2025-03-25 19:18:43","2TAO","268.3","536.6FDUSD","FILLED"
"2025-03-25 10:05:46","285275298","PEPEFDUSD","Limit","BUY","0.0000072","62500000PEPE","2025-03-25 20:34:56","0PEPE","0","0FDUSD","CANCELED"
"2025-03-25 10:01:08","285273938","PEPEFDUSD","Limit","BUY","0.000008","62500000PEPE","2025-03-25 10:01:19","62500000PEPE","0.000008","500FDUSD","FILLED"
"2025-03-24 23:01:05","18075890","FDUSDUSDC","Limit","SELL","0.9992","5435FDUSD","2025-03-25 09:59:21","0FDUSD","0","0USDC","CANCELED"
"2025-03-24 22:21:51","471719","EURIUSDC","Limit","SELL","1.0802","23092.3EURI","2025-03-25 01:14:57","23092.3EURI","1.0802","24944.30246USDC","FILLED"
"2025-03-24 21:54:18","867762200","USDCUSDT","Limit","BUY","0.9999","6805USDC","2025-03-24 21:54:18","6805USDC","0.9999","6804.3195USDT","FILLED"
"2025-03-24 21:49:21","1359549473","CAKEUSDT","Limit","BUY","2.567","1000CAKE","2025-03-24 21:49:35","0CAKE","0","0USDT","CANCELED"
"2025-03-24 21:38:57","32471476","ARFDUSD","Limit","BUY","7.39","1300AR","2025-03-24 22:22:20","1300AR","7.39","9607FDUSD","FILLED"
"2025-03-24 21:29:54","342474160","SUIFDUSD","Limit","BUY","2.4222","10000SUI","2025-03-24 21:32:20","10000SUI","2.4222","24222FDUSD","FILLED"
"2025-03-24 21:26:09","342473041","SUIFDUSD","Limit","BUY","2.419","1000SUI","2025-03-24 21:33:01","1000SUI","2.419","2419FDUSD","FILLED"
"2025-03-24 21:11:06","279307226","WIFUSDC","Limit","BUY","0.444","6WIF","2025-03-25 20:17:24","0WIF","0","0USDC","CANCELED"
"2025-03-24 21:07:24","546083419","WIFFDUSD","Limit","BUY","0.515","3000WIF","2025-03-26 21:41:36","0WIF","0","0FDUSD","CANCELED"
"2025-03-24 20:56:22","115321698","RUNEUSDC","Limit","BUY","1.111","5RUNE","2025-03-27 09:45:21","0RUNE","0","0USDC","CANCELED"
"2025-03-24 20:52:45","259876603","ATOMUSDC","Limit","BUY","3.8","15ATOM","2025-03-27 09:42:50","0ATOM","0","0USDC","CANCELED"
"2025-03-24 20:47:43","56406121","SUSDC","Limit","BUY","0.33","50S","2025-03-27 09:41:16","0S","0","0USDC","CANCELED"
"2025-03-24 20:43:29","256404344","DOTUSDC","Limit","BUY","3.808","35DOT","2025-03-27 09:31:49","0DOT","0","0USDC","CANCELED"
"2025-03-24 20:37:27","7231499","CAKEUSDC","Limit","BUY","1.567","100CAKE","2025-03-27 09:44:42","0CAKE","0","0USDC","CANCELED"
"2025-03-24 20:32:48","85383051","RUNEFDUSD","Limit","BUY","1.25","1000RUNE","2025-03-24 20:56:40","0RUNE","0","0FDUSD","CANCELED"
"2025-03-24 16:13:41","342088303","SUIFDUSD","Limit","BUY","2.44","2872.5SUI","2025-03-24 16:13:51","2872.5SUI","2.44","7008.9FDUSD","FILLED"
"2025-03-24 15:54:58","1433206711","KSMUSDT","Limit","BUY","18.22","200KSM","2025-03-24 16:30:10","200KSM","18.22","3644USDT","FILLED"
"2025-03-24 15:54:46","1433206555","KSMUSDT","Limit","BUY","18.22","200.11KSM","2025-03-24 16:30:10","200.11KSM","18.22","3646.0042USDT","FILLED"
"2025-03-24 15:53:34","1433205516","KSMUSDT","Limit","BUY","18.25","99.63KSM","2025-03-24 16:26:02","99.63KSM","18.25","1818.2475USDT","FILLED"
"2025-03-24 15:48:41","1433201016","KSMUSDT","Limit","BUY","18.28","34.987KSM","2025-03-24 15:48:41","34.987KSM","18.27","639.21249USDT","FILLED"
"2025-03-13 23:04:47","18184680","EURIUSDT","Limit","SELL","1.0898","7710EURI","2025-03-14 10:46:05","7710EURI","1.0898","8402.358USDT","FILLED"
"2025-03-13 23:01:06","84710705","RUNEFDUSD","Limit","BUY","1.03","1000RUNE","2025-03-13 23:01:06","0RUNE","0","0FDUSD","NEW"
"2025-03-13 22:45:41","1294337900","CAKEUSDT","Limit","BUY","1.567","4000CAKE","2025-03-13 22:45:41","0CAKE","0","0USDT","NEW"
"2025-03-13 22:43:32","18184203","EURIUSDT","Limit","SELL","1.0856","7000EURI","2025-03-13 22:43:33","7000EURI","1.0856","7599.2USDT","FILLED"
"2025-03-13 22:41:25","18184172","EURIUSDT","Limit","SELL","1.0858","7700EURI","2025-03-13 22:46:02","0EURI","0","0USDT","CANCELED"
"2025-03-13 22:08:45","1294314785","CAKEUSDT","Limit","BUY","1.555","345CAKE","2025-03-13 22:08:45","0CAKE","0","0USDT","NEW"
"2025-03-13 22:04:26","18183701","EURIUSDT","Limit","SELL","1.086","7700EURI","2025-03-13 22:40:45","0EURI","0","0USDT","CANCELED"
"2025-03-13 21:51:16","165911817","DOTFDUSD","Limit","BUY","3.666","2000DOT","2025-03-13 21:51:16","0DOT","0","0FDUSD","NEW"
"2025-03-13 21:48:54","165911585","DOTFDUSD","Limit","BUY","3.833","2000DOT","2025-03-13 21:48:54","0DOT","0","0FDUSD","NEW"
"2025-03-13 21:43:47","32309087","SFDUSD","Limit","BUY","0.3333","3000S","2025-03-13 21:43:47","0S","0","0FDUSD","NEW"
"2025-03-13 21:32:07","84708168","RUNEFDUSD","Limit","BUY","1.094","1000RUNE","2025-03-13 21:33:19","1000RUNE","1.094","1094FDUSD","FILLED"
"2025-03-13 21:27:31","185787296","ATOMFDUSD","Limit","BUY","3.818","500ATOM","2025-03-13 21:27:31","0ATOM","0","0FDUSD","NEW"
"2025-03-12 23:02:38","848656124","USDCUSDT","Limit","BUY","1.0002","400USDC","2025-03-12 23:02:38","400USDC","1.0002","400.08USDT","FILLED"
"2025-03-12 23:00:22","848653203","USDCUSDT","Limit","BUY","1.0002","8000USDC","2025-03-12 23:00:22","8000USDC","1.0002","8001.6USDT","FILLED"
"2025-03-12 22:56:04","848650326","USDCUSDT","Limit","BUY","1.0002","800USDC","2025-03-12 22:56:04","800USDC","1.0002","800.16USDT","FILLED"
"2025-03-12 22:40:35","848636653","USDCUSDT","Limit","BUY","1.0002","1000USDC","2025-03-12 22:40:35","1000USDC","1.0002","1000.2USDT","FILLED"
"2025-03-12 22:38:54","848635222","USDCUSDT","Limit","BUY","1.0001","8000USDC","2025-03-12 23:00:15","0USDC","0","0USDT","CANCELED"
"2025-03-12 22:36:12","18096147","EURIUSDT","Limit","SELL","1.089","2000EURI","2025-03-12 23:10:06","2000EURI","1.089","2178USDT","FILLED"
"2025-03-12 22:34:58","18096121","EURIUSDT","Limit","SELL","1.0891","2000EURI","2025-03-12 22:35:31","0EURI","0","0USDT","CANCELED"
"2025-03-11 14:02:42","184573622","ATOMFDUSD","Limit","BUY","3.456","1000ATOM","2025-03-11 14:02:42","0ATOM","0","0FDUSD","NEW"
"2025-03-11 00:36:04","244312905","SUSDT","Limit","BUY","0.4111","1000S","2025-03-11 00:45:55","1000S","0.4111","411.1USDT","FILLED"
"2025-03-11 00:26:36","395327746","FDUSDUSDT","Limit","BUY","0.9979","1000FDUSD","2025-03-11 00:33:57","1000FDUSD","0.9979","997.9USDT","FILLED"
"2025-03-11 00:19:55","395322081","FDUSDUSDT","Limit","BUY","0.998","40300FDUSD","2025-03-11 00:24:49","40300FDUSD","0.998","40219.4USDT","FILLED"
