"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2024-10-28 15:55:15","1151621300","KSMUSDT","Limit","BUY","16.85","99KSM","2024-10-28 15:55:15","99KSM","16.84707313","1667.86024USDT","FILLED"
"2024-10-27 13:13:10","1150708866","KSMUSDT","Limit","BUY","16.91","94KSM","2024-10-28 03:52:11","94KSM","16.91","1589.54USDT","FILLED"
"2024-10-27 13:12:13","1150707891","KSMUSDT","Limit","BUY","16.77","100KSM","2024-10-28 16:01:41","0KSM","0","0USDT","CANCELED"
"2024-10-27 12:58:12","1150696466","KSMUSDT","Limit","BUY","16.92","100KSM","2024-10-27 13:00:41","100KSM","16.92","1692USDT","FILLED"
"2024-10-27 12:55:09","1150694921","KSMUSDT","Limit","BUY","16.16","200KSM","2024-10-27 13:12:00","0KSM","0","0USDT","CANCELED"
"2024-10-27 12:54:34","1150694816","KSMUSDT","Limit","BUY","16.78","100KSM","2024-10-28 16:01:46","100KSM","16.78","1678USDT","FILLED"
"2024-10-27 12:53:51","1150694352","KSMUSDT","Limit","BUY","16.66","100KSM","2024-10-28 15:54:38","0KSM","0","0USDT","CANCELED"
"2024-10-27 12:53:07","1150693970","KSMUSDT","Limit","BUY","16.9","100KSM","2024-10-28 04:00:38","100KSM","16.9","1690USDT","FILLED"
"2024-05-15 20:06:26","1941493886","ZECUSDT","Limit","BUY","22.66","46ZEC","2024-06-11 13:43:25","46ZEC","22.66","1042.36USDT","FILLED"
"2024-05-13 20:50:43","1940518577","ZECUSDT","Limit","BUY","21.9","42ZEC","2024-05-14 06:17:26","42ZEC","21.9","919.8USDT","FILLED"
"2024-05-13 20:46:51","1940516811","ZECUSDT","Limit","BUY","21.67","50ZEC","2024-05-15 20:05:28","0ZEC","0","0USDT","CANCELED"
"2024-05-13 20:37:26","782622057","CAKEUSDT","Limit","BUY","2.606","285CAKE","2024-05-13 21:25:59","285CAKE","2.606","742.71USDT","FILLED"
"2024-05-13 20:36:12","782621690","CAKEUSDT","Limit","BUY","2.577","400CAKE","2024-05-14 01:44:11","400CAKE","2.577","1030.8USDT","FILLED"
"2024-05-13 20:35:00","782621263","CAKEUSDT","Limit","BUY","2.525","500CAKE","2024-05-14 13:49:21","500CAKE","2.525","1262.5USDT","FILLED"
"2024-05-13 20:02:56","3216953519","FTMUSDT","Limit","BUY","0.6789","840FTM","2024-05-13 22:07:24","840FTM","0.6789","570.276USDT","FILLED"
"2024-05-13 19:59:01","3819709259","MATICUSDT","Limit","BUY","0.6666","808.6MATIC","2024-05-13 21:51:35","808.6MATIC","0.6666","539.01276USDT","FILLED"
"2024-04-24 20:56:27","5272178787","BNBUSDT","Limit","SELL","616.1","5BNB","2024-04-25 18:13:30","5BNB","616.1","3080.5USDT","FILLED"
"2024-04-17 16:59:38","3754932673","MATICUSDT","Limit","BUY","0.5432","1000MATIC","2024-05-13 19:58:28","0MATIC","0","0USDT","CANCELED"
"2024-04-17 16:56:58","5250335713","BNBUSDT","Limit","SELL","529.5","5BNB","2024-04-17 17:54:48","5BNB","529.5","2647.5USDT","FILLED"
"2024-04-17 05:28:18","1589174179","RUNEUSDT","Limit","BUY","5.111","100RUNE","2024-04-17 05:51:07","100RUNE","5.111","511.1USDT","FILLED"
"2024-04-16 20:49:53","1588512705","RUNEUSDT","Limit","BUY","4.922","17RUNE","2024-04-17 11:47:28","17RUNE","4.922","83.674USDT","FILLED"
"2024-04-16 20:45:48","986063391","ARUSDT","Limit","BUY","23.789","100AR","2024-04-17 12:36:41","100AR","23.789","2378.9USDT","FILLED"
"2024-04-16 20:43:21","3751955462","MATICUSDT","Limit","BUY","0.5122","1000MATIC","2024-04-17 05:26:23","0MATIC","0","0USDT","CANCELED"
"2024-04-16 20:42:33","3751954463","MATICUSDT","Limit","BUY","0.5678","1000MATIC","2024-05-13 20:02:24","0MATIC","0","0USDT","CANCELED"
"2024-04-16 20:42:04","3751953866","MATICUSDT","Limit","BUY","0.6123","1000MATIC","2024-04-17 16:58:21","0MATIC","0","0USDT","CANCELED"
"2024-04-15 20:29:10","5242679344","BNBUSDT","Limit","SELL","578.9","5BNB","2024-04-21 06:27:26","5BNB","578.9","2894.5USDT","FILLED"
"2024-04-13 06:27:02","961237204","ARUSDT","Limit","BUY","25.678","50AR","2024-04-13 17:08:14","50AR","25.678","1283.9USDT","FILLED"
"2024-04-13 06:18:30","1574717157","RUNEUSDT","Limit","BUY","5.612","55RUNE","2024-04-13 07:53:07","55RUNE","5.612","308.66USDT","FILLED"
"2024-03-31 08:05:48","5190795421","BNBUSDT","Limit","SELL","626.2","5BNB","2024-04-12 05:52:50","5BNB","626.2","3131USDT","FILLED"
"2024-03-31 08:05:30","5190795027","BNBUSDT","Limit","SELL","636.3","5BNB","2024-04-24 20:54:49","0BNB","0","0USDT","CANCELED"
"2024-03-31 08:04:39","5190794691","BNBUSDT","Limit","SELL","655.5","5BNB","2024-04-15 20:03:40","0BNB","0","0USDT","CANCELED"
"2024-03-31 08:04:08","5190794319","BNBUSDT","Limit","SELL","646.4","5BNB","2024-04-17 16:55:15","0BNB","0","0USDT","CANCELED"
"2024-03-31 08:03:03","5190793489","BNBUSDT","Limit","SELL","636.3","10BNB","2024-03-31 08:05:11","0BNB","0","0USDT","CANCELED"
"2024-03-27 07:03:55","3038767681","FTMUSDT","Limit","SELL","1.9876","300FTM","2024-03-27 07:03:55","0FTM","0","0USDT","NEW"
"2024-03-25 17:34:33","2304864516","MANAUSDT","Limit","BUY","0.4456","5000MANA","2024-04-13 19:50:50","5000MANA","0.4456","2228USDT","FILLED"
"2024-03-23 07:38:21","4586426858","ADAUSDT","Limit","SELL","0.789","800ADA","2024-03-23 07:38:21","0ADA","0","0USDT","NEW"
"2024-03-22 08:32:46","3006680881","FTMUSDT","Limit","SELL","1.1965","10000FTM","2024-03-22 09:21:02","10000FTM","1.1965","11965USDT","FILLED"
"2024-03-21 08:53:28","2996808912","FTMUSDT","Limit","SELL","1.4678","9900FTM","2024-03-27 07:02:34","0FTM","0","0USDT","CANCELED"
"2024-03-21 08:52:28","2996806009","FTMUSDT","Limit","SELL","1.2626","10000FTM","2024-03-22 08:31:37","0FTM","0","0USDT","CANCELED"
"2024-03-21 08:50:01","5509351971","SOLUSDT","Limit","SELL","246.78","100SOL","2024-03-21 08:50:01","0SOL","0","0USDT","NEW"
"2024-03-21 08:49:29","5509347565","SOLUSDT","Limit","SELL","209.67","100SOL","2024-05-13 20:01:44","0SOL","0","0USDT","CANCELED"
"2024-03-20 14:07:22","2185626453","UNIUSDT","Limit","SELL","11.33","200UNI","2024-03-20 18:50:12","200UNI","11.33","2266USDT","FILLED"
"2024-03-20 13:58:58","2987498474","FTMUSDT","Limit","SELL","0.9966","17131FTM","2024-03-20 18:18:37","17131FTM","0.9966","17072.7546USDT","FILLED"
"2024-03-19 18:42:25","883897333","ARUSDT","Limit","SELL","32.888","250AR","2024-03-19 19:25:40","250AR","32.888","8222USDT","FILLED"
"2024-03-19 18:41:37","883894916","ARUSDT","Limit","SELL","32.888","255.35AR","2024-03-19 18:41:50","0AR","0","0USDT","CANCELED"
"2024-03-19 18:32:29","5472105505","SOLUSDT","Limit","SELL","209.22","200SOL","2024-03-21 08:13:09","0SOL","0","0USDT","CANCELED"
"2024-03-19 18:31:04","5472087107","SOLUSDT","Limit","SELL","193.33","69SOL","2024-03-21 00:42:37","69SOL","193.33","13339.77USDT","FILLED"
"2024-03-19 18:24:18","2977681145","FTMUSDT","Limit","SELL","1.0678","20000FTM","2024-03-20 18:59:32","20000FTM","1.0678","21356USDT","FILLED"
"2024-03-19 18:23:13","2977672057","FTMUSDT","Limit","SELL","1.0876","17130FTM","2024-03-20 13:58:20","0FTM","0","0USDT","CANCELED"
"2024-03-19 17:58:08","2181724480","UNIUSDT","Limit","SELL","12.089","200UNI","2024-03-20 14:06:38","0UNI","0","0USDT","CANCELED"
"2024-03-19 17:55:39","2181719217","UNIUSDT","Limit","SELL","11.987","350UNI","2024-03-21 00:42:49","350UNI","11.987","4195.45USDT","FILLED"
"2024-03-19 17:54:12","2181715607","UNIUSDT","Limit","SELL","11.366","300UNI","2024-03-20 18:55:15","300UNI","11.366","3409.8USDT","FILLED"
"2024-03-19 15:55:07","2975657164","FTMUSDT","Limit","SELL","1.0876","37130FTM","2024-03-19 18:22:50","0FTM","0","0USDT","CANCELED"
"2024-03-17 08:40:09","2171388668","UNIUSDT","Limit","SELL","12.222","253.19UNI","2024-03-17 10:21:28","253.19UNI","12.222","3094.48818USDT","FILLED"
"2024-03-17 08:38:13","2171381879","UNIUSDT","Limit","SELL","15.155","250UNI","2024-03-19 15:56:19","0UNI","0","0USDT","CANCELED"
"2024-03-17 08:36:08","2171373492","UNIUSDT","Limit","SELL","14.44","200UNI","2024-03-19 15:56:32","0UNI","0","0USDT","CANCELED"
"2024-03-17 08:35:10","2171369994","UNIUSDT","Limit","SELL","13.13","200UNI","2024-03-19 17:57:26","0UNI","0","0USDT","CANCELED"
"2024-03-17 08:34:03","2171366049","UNIUSDT","Limit","SELL","12.22","200UNI","2024-03-17 08:39:52","0UNI","0","0USDT","CANCELED"
"2024-03-17 07:58:11","5415186399","SOLUSDT","Limit","SELL","182.82","3.5SOL","2024-03-17 08:03:17","3.5SOL","182.82","639.87USDT","FILLED"
"2024-03-08 04:33:09","591140206","ADAETH","Limit","SELL","0.0001987","40ADA","2024-03-14 07:50:19","40ADA","0.0001987","0.007948ETH","FILLED"
"2024-03-08 03:28:38","3884730564","ETHBTC","Limit","BUY","0.05566","8.9652ETH","2024-03-10 22:56:47","8.9652ETH","0.05566","0.49900299BTC","FILLED"
"2024-03-08 03:26:14","3884729714","ETHBTC","Limit","BUY","0.05789","8.6372ETH","2024-03-08 15:02:34","8.6372ETH","0.05789","0.50000749BTC","FILLED"
"2024-03-08 03:23:43","3884728483","ETHBTC","Limit","BUY","0.05678","8.806ETH","2024-03-10 04:11:28","8.806ETH","0.05678","0.50000464BTC","FILLED"
"2024-03-08 03:21:27","3884726426","ETHBTC","Limit","BUY","0.05689","8.7889ETH","2024-03-08 03:24:15","0ETH","0","0BTC","CANCELED"
"2024-03-04 05:33:30","819582532","ARUSDT","Limit","SELL","32.789","200AR","2024-03-05 05:06:42","200AR","32.789","6557.8USDT","FILLED"
"2024-03-04 05:32:41","819581209","ARUSDT","Limit","SELL","31.663","150AR","2024-03-05 05:01:05","150AR","31.663","4749.45USDT","FILLED"
"2024-03-04 05:31:56","819580112","ARUSDT","Limit","SELL","30.883","150AR","2024-03-05 04:59:06","150AR","30.883","4632.45USDT","FILLED"
"2024-02-29 22:13:35","4879957788","LINKUSDT","Limit","SELL","20.555","500LINK","2024-03-02 03:48:46","500LINK","20.555","10277.5USDT","FILLED"
"2024-02-29 22:12:26","4879953407","LINKUSDT","Limit","SELL","19.876","500LINK","2024-03-01 08:41:53","500LINK","19.876","9938USDT","FILLED"
"2024-02-29 22:01:26","806254512","ARUSDT","Limit","SELL","28.765","450AR","2024-03-01 09:56:50","450AR","28.765","12944.25USDT","FILLED"
"2024-02-29 21:59:29","806248125","ARUSDT","Limit","SELL","27.897","450AR","2024-03-01 00:55:04","450AR","27.897","12553.65USDT","FILLED"
"2024-01-11 05:14:50","1316268009","RUNEUSDT","Limit","BUY","5.011","17RUNE","2024-01-11 05:35:34","17RUNE","5.011","85.187USDT","FILLED"
"2024-01-11 05:13:20","1843952555","ZECUSDT","Limit","BUY","22.44","40ZEC","2024-01-18 12:24:39","40ZEC","22.44","897.6USDT","FILLED"
"2024-01-11 05:03:47","1316254671","RUNEUSDT","Limit","BUY","4.567","100RUNE","2024-01-12 16:54:56","100RUNE","4.567","456.7USDT","FILLED"
"2024-01-11 04:56:19","1316246264","RUNEUSDT","Limit","BUY","5.055","100RUNE","2024-01-11 04:59:54","100RUNE","5.055","505.5USDT","FILLED"
"2024-01-11 04:50:48","1843929234","ZECUSDT","Limit","BUY","23.45","50ZEC","2024-01-11 05:38:37","50ZEC","23.45","1172.5USDT","FILLED"
